gross,genres,month,year,imdb_score
187991439,Sci-Fi,10,2014,8.6
292568851,Action,7,2010,8.8
292568851,Adventure,7,2010,8.8
292568851,Sci-Fi,7,2010,8.8
292568851,Thriller,7,2010,8.8
303001229,Adventure,11,2012,7.9
303001229,Fantasy,11,2012,7.9
144512310,Action,6,2001,6.7
144512310,Action,6,2001,6.7
144512310,Action,6,2001,6.7
144512310,Crime,6,2001,6.7
144512310,Crime,6,2001,6.7
144512310,Crime,6,2001,6.7
144512310,Thriller,6,2001,6.7
144512310,Thriller,6,2001,6.7
144512310,Thriller,6,2001,6.7
127490802,Drama,12,2008,7.8
127490802,Fantasy,12,2008,7.8
127490802,Romance,12,2008,7.8
146405371,Action,5,2011,7.8
146405371,Adventure,5,2011,7.8
146405371,Sci-Fi,5,2011,7.8
281666058,Adventure,11,2015,6.6
281666058,Sci-Fi,11,2015,6.6
63143812,Action,7,2010,6.1
63143812,Adventure,7,2010,6.1
63143812,Family,7,2010,6.1
63143812,Fantasy,7,2010,6.1
60655503,Action,5,2006,5.6
60655503,Adventure,5,2006,5.6
60655503,Drama,5,2006,5.6
60655503,Thriller,5,2006,5.6
76846624,Adventure,5,2016,6.4
76846624,Family,5,2016,6.4
76846624,Fantasy,5,2016,6.4
320706665,Adventure,5,2007,6.1
320706665,Animation,5,2007,6.1
320706665,Comedy,5,2007,6.1
320706665,Family,5,2007,6.1
320706665,Fantasy,5,2007,6.1
46978995,Action,5,2016,7.3
46978995,Adventure,5,2016,7.3
46978995,Fantasy,5,2016,7.3
89732035,Action,6,2015,6.6
89732035,Adventure,6,2015,6.6
89732035,Sci-Fi,6,2015,6.6
104383624,Adventure,12,2010,6.3
104383624,Family,12,2010,6.3
104383624,Fantasy,12,2010,6.3
198539855,Action,5,2001,6.1
198539855,Drama,5,2001,6.1
198539855,History,5,2001,6.1
198539855,Romance,5,2001,6.1
198539855,War,5,2001,6.1
318759914,Action,6,2007,7.1
318759914,Adventure,6,2007,7.1
318759914,Sci-Fi,6,2007,7.1
34293771,Action,11,2004,5.5
34293771,Adventure,11,2004,5.5
34293771,Biography,11,2004,5.5
34293771,Drama,11,2004,5.5
34293771,History,11,2004,5.5
34293771,Romance,11,2004,5.5
34293771,War,11,2004,5.5
292000866,Adventure,6,2007,7.5
292000866,Family,6,2007,7.5
292000866,Fantasy,6,2007,7.5
292000866,Mystery,6,2007,7.5
289994397,Adventure,11,2005,7.6
289994397,Family,11,2005,7.6
289994397,Fantasy,11,2005,7.6
289994397,Mystery,11,2005,7.6
227946274,Action,6,2008,6.4
227946274,Drama,6,2008,6.4
256386216,Drama,12,2007,7.2
256386216,Horror,12,2007,7.2
256386216,Sci-Fi,12,2007,7.2
206456431,Adventure,7,2005,6.7
206456431,Comedy,7,2005,6.7
206456431,Family,7,2005,6.7
206456431,Fantasy,7,2005,6.7
206435493,Animation,6,2007,8
206435493,Comedy,6,2007,8
206435493,Family,6,2007,8
206435493,Fantasy,6,2007,8
205343774,Action,5,2005,8.3
205343774,Adventure,5,2005,8.3
179982968,Action,10,2008,6.7
179982968,Adventure,10,2008,6.7
179982968,Animation,10,2008,6.7
179982968,Comedy,10,2008,6.7
179982968,Family,10,2008,6.7
177243721,Adventure,5,2009,5.9
177243721,Comedy,5,2009,5.9
177243721,Family,5,2009,5.9
177243721,Fantasy,5,2009,5.9
179883016,Action,4,2009,6.7
179883016,Adventure,4,2009,6.7
179883016,Fantasy,4,2009,6.7
179883016,Sci-Fi,4,2009,6.7
179883016,Thriller,4,2009,6.7
139259759,Action,10,2003,6.7
139259759,Sci-Fi,10,2003,6.7
400736600,Adventure,11,2013,7.6
400736600,Animation,11,2013,7.6
400736600,Comedy,11,2013,7.6
400736600,Family,11,2013,7.6
400736600,Fantasy,11,2013,7.6
400736600,Musical,11,2013,7.6
281492479,Action,5,2003,7.2
281492479,Sci-Fi,5,2003,7.2
206360018,Action,10,2013,7.1
206360018,Adventure,10,2013,7.1
206360018,Fantasy,10,2013,7.1
153629485,Action,5,2015,8.1
153629485,Adventure,5,2015,8.1
153629485,Sci-Fi,5,2015,8.1
153629485,Thriller,5,2015,8.1
133375846,Mystery,5,2009,6.7
133375846,Thriller,5,2009,6.7
181015141,Action,4,2011,7
181015141,Adventure,4,2011,7
181015141,Fantasy,4,2011,7
114053579,Adventure,11,2008,6.9
114053579,Animation,11,2008,6.9
114053579,Comedy,11,2008,6.9
114053579,Drama,11,2008,6.9
